spaceFormID,spaceEditorID,spaceDisplayName,isWorldspace
00000F93,DiamondCityFX,Diamond City,1
000782A8,MinutemenHoldingCell,Minutemen Holding Cell,0
00092A18,PackInSpotlight_Swivel_OffNEWStorageCell,,0
00155874,COPY0068,,0
001652D8,COPY0082,,0
001A45C8,COPY0241,,0
001BDBA4,PackInDMPTargetPracticePackInStorageCell,,0
001DFB00,,,0
001E6D74,,,0
001F8A9C,,,0
002112CC,,,0
002141AC,,,0
0022E340,,,0
0005C3D2,PackInLightBulbChandelier_LargeStorageCell,,0
000E4E8A,COPY0004,,0
0014056E,COPY0061DUPLICATE000,,0
00180A56,COPY0108,,0
0018AE66,PackInBarredDoorSinglePackIn01StorageCell,,0
001A45D2,COPY0236,,0
001F8AA6,,,0
002112D6,,,0
0021CA6E,,,0
0007330C,COPY0265,,0
000E4E94,COPY0014,,0
00160B70,COPY0079,,0
00162790,COPY0080,,0
00168618,COPY0083,,0
001A45DC,COPY0231,,0
001B0B20,COPY0307,,0
001F8AB0,PackInGenericExteriorClutter01StorageCell,,0
002112E0,,,0
00211D6C,,,0
000242A2,CTEST,Quick Test Cell,0
000E4E9E,COPY0024,,0
000E8292,PackInIndCatLightNSStorageCell,,0
001B0B2A,COPY0302,,0
00036E48,PackInLightingSetForQuickSetUp01NoShadowLightsStorageCell,,0
00042450,COPY0262,,0
0007D280,PackInLvlBloodbugAggro650WallPackInStorageCell,,0
000E4EA8,COPY0034,,0
00118618,WarehouseGunTraps,TrapGunPackins,0
00198D90,,,0
0019904C,PackInDummy_Weap_PipeBoltAction_RifleStorageCell,,0
00237580,,,0
00247304,,,0
00017A52,COPY0255,,0
0005712A,PackInLvlRadRoachAmbushFloorStorageCell,,0
0009BD2A,DebugRange,Quick Test Cell,0
00169766,COPY0065,,0
00175B7E,COPY0104,,0
00198D9A,PackInDummy_Ammo_CombatRifleStorageCell,,0
00199056,PackInDummy_Weap_LaserGunBlue_SemiautoStorageCell,,0
00083FF4,PackInLvlBloatflyAggro512CeilingPackInStorageCell,,0
000B35C4,PackInDummy_Chems_AnyStorageCell,,0
0011849C,PackInEmbankmentIsland_SmallThin01GStorageCell,,0
00123590,COPY0058,,0
0012B484,PackInMetalFireBarrelGratingSStorageCell,,0
00158024,PackInHighTechLightCeiling02PackInsStorageCell,,0
00173DD8,COPY0101,,0
00198DA4,,,0
00199060,PackInDummy_Weap_LaserGun_RifleShortStorageCell,,0
00083FFE,PackInLvlStingwingAmbushWallPackInStorageCell,,0
000A5E92,PackInLvlRadStagDefaultPackInStorageCell,,0
000B35CE,PackInDummy_Ammo_FusionCellStorageCell,,0
000CFD46,COPY0285,,0
0012B48E,PackInBldPlugFLight01GoboStorageCell,,0
0019906A,,,0
0019F4CE,COPY0222,,0
001D0AA6,PackInLvlMirelurkKingAmbushWaterPackInStorageCell,,0
0022002E,,,0
0022C1EE,,,0
00072E34,PackInHoodedLamp03PackInStorageCell,,0
0008C08C,COPY0274,,0
000A139C,PackInLvlFeralGhoulAggro800CrawlPackInStorageCell,,0
000B35D8,PackInDummy_HandmadeGun_Rifle_ScopeOpticalStorageCell,,0
00182720,COPY0109,,0
0019F4D8,COPY0217,,0
001A4EB0,COPY0250,,0
00220038,,,0
0003D982,PackInLvlBloodbugAmbushGroundPackInStorageCell,,0
0008C096,COPY0271,,0
0013FEB6,COPY0061,,0
001A45BE,COPY0246,,0
001AB2BA,COPY0294,,0
001DFAF6,,,0
0020F062,,,0
002233D2,,,0
00092A19,PackInSpotlight_Swivel_OnNEWStorageCell,,0
00167D09,COPY0086,,0
0018153D,COPY0182,,0
001815A1,COPY0132,,0
0018AE5D,PackInBarredDoorDoublePackIn01StorageCell,,0
00195B05,COPY0207,,0
001B4BE5,COPY0316,,0
001C7781,COPY0335,,0
001E6D75,PackInIndGreeb12StorageCell,,0
001EE6F1,,,0
001F8A9D,,,0
002112CD,,,0
002141AD,,,0
0022E341,,,0
0005C3D3,PackInLightBulbChandelier_SmallStorageCell,,0
000E4E8B,COPY0005,,0
0011A27F,COPY0057,,0
00181547,COPY0177,,0
001815AB,COPY0127,,0
00192DBF,COPY0198,,0
00195B0F,COPY0202,,0
001C778B,COPY0330,,0
001F8AA7,,,0
002112D7,,,0
0021CA6F,,,0
002269CF,,,0
000E4E95,COPY0015,,0
00181551,COPY0172,,0
001815B5,COPY0122,,0
00192DC9,PackInBld02Angle45BrickACom01_PackInStorageCell,,0
00193C3D,COPY0200,,0
001C7795,COPY0325,,0
0020E8B1,PackInGenericExteriorClutter40StorageCell,,0
002112E1,,,0
00211D6D,,,0
00248AC5,PackInBuoy_Bell_RedStorageCell,,0
000E4E9F,COPY0025,,0
000E8D83,COPY0039,,0
0018155B,COPY0167,,0
001815BF,COPY0117,,0
00198D87,,,0
001B193B,COPY0313,,0
001C779F,COPY0320,,0
0002B909,COPY0257,,0
00036E49,PackInLightingSetForQuickSetUp01StorageCell,,0
0007D281,PackInLvlMirelurkAggro1670WaterStorageCell,,0
000E4EA9,PackInConstructionLightFloorPackinStorageCell,,0
00170F49,COPY0095,,0
0017CA01,InstituteAliasCell,,0
00181565,COPY0162,,0
001815C9,COPY0112,,0
00198D91,,,0
0019904D,PackInDummy_Weap_PipeBoltAction_PistolStorageCell,,0
00051947,WarehouseAmbushes,Quick Test Cell,0
0005712B,PackInLvlRadRoachAmbushWallStorageCell,,0
0007CEA3,PackInLvlMoleratAggro512LongStorageCellDUPLICATE001,,0
0008C06F,COPY0279,,0
00170F53,COPY0090,,0
0018156F,COPY0157,,0
00198D9B,,,0
00199057,PackInDummy_Weap_LaserGunBlue_RifleStorageCell,,0
001A0B63,COPY0291,,0
0020C66F,,,0
002243AF,,,0
00083FF5,PackInLvlBloatflyAggro1500GroundPackInStorageCell,,0
000F7C4D,COPY0048,,0
0016CDBD,COPY0084,,0
00181579,COPY0152,,0
00193AD5,PackInKlaxonLightPackInStorageCell,,0
00198DA5,PackInDummy_PlasmaGun_PistolStorageCell,,0
00199061,,,0
0019FCF9,COPY0216DUPLICATE000,,0
002105C1,,,0
00089397,PackInDeskLamp01PackInStorageCellDUPLICATE000,,0
0008F5A3,PackInSpotlight_Up_OnStorageCell,,0
000A5E93,PackInLvlRadscorpionDefaultPackInStorageCell,,0
000B3D9F,PackInElevatorUtilityPackInStorageCellDUPLICATE000,,0
00146627,COPY0072DUPLICATE000,,0
00181583,COPY0147,,0
0019906B,PackInDummy_Weap_10mm_Pistol_SemiAutoStorageCell,,0
0021B723,,,0
0022002F,,,0
00072E35,PackInLanternStorageCell,,0
000A139D,PackInLvlFeralGhoulAggro512MantelPackInStorageCell,,0
000B35D9,PackInDummy_HandmadeGun_Rifle_ScopeStorageCell,,0
00146631,PackInTrapGunWallHorizPistolPackinStorageCellDUPLICATE002,,0
001466F9,PackInTrapGunWallVertRiflePackinStorageCell,,0
0018158D,COPY0142,,0
00181975,COPY0187,,0
001DFAED,,,0
00203B19,,,0
0003D983,PackInLvlBloodbugAmbushCeilingShortPackInStorageCell,,0
0009DC93,PackInLoadElevatorUtilityPackInStorageCell,,0
001715BB,COPY0100,,0
001796A3,PackInTrapMonkeyPackinStorageCell,,0
00181597,COPY0137,,0
001C7777,COPY0340,,0
001DFAF7,,,0
001ED3C3,,,0
0020F063,,,0
002233D3,,,0
00084D02,PackInLvlFeralGhoulAmbushMantelPackInStorageCell,,0
000939BA,COPY0281,,0
001A45CA,COPY0240,,0
001DFB02,,,0
001EE6F2,,,0
001F8A9E,,,0
002112CE,,,0
0022D2DA,,,0
0022E342,,,0
000E4E8C,COPY0006,,0
00102B80,PackInterminalProtectron_PackInStorageCell,,0
00180A58,COPY0052,,0
001A45D4,COPY0235,,0
001F8AA8,,,0
002112D8,,,0
0021CA70,,,0
002269D0,,,0
000AB57E,PackInSpotlightDetectInteriorPackInStorageCell,,0
000E4E96,COPY0016,,0
00160B72,COPY0075,,0
00162792,COPY0074DUPLICATE000,,0
001A45DE,COPY0230,,0
001A94C6,COPY0293,,0
001B0B22,COPY0306,,0
00211D6E,,,0
00248AC6,PackInBuoy_Bell_GreenStorageCell,,0
000E4EA0,COPY0026,,0
00198D88,PackInDummy_WeapMelee_AllStorageCell,,0
001B0B2C,COPY0301,,0
0007D282,PackInLvlMirelurkAggro1670GroundDirtStorageCell,,0
0009A6DE,PackInFluorescentLightSinglePackInStorageCell,,0
000E4EAA,PackInConstructionLightStandingPackinStorageCell,,0
00162A62,COPY0081,,0
0016BAEA,COPY0085,,0
00198D92,PackInDummy_Ammo_44weapStorageCell,,0
0019904E,PackInDummy_Weap_Pipe_All_ShortStorageCell,,0
001B0B36,COPY0295,,0
00017A54,COPY0254,,0
0007CEA4,PackInLvlMoleratAggro512ShortStorageCellDUPLICATE000,,0
000EACD8,PackInSubwayLightWall03NSStorageCell,,0
00175B80,COPY0103,,0
